symbol,side,timeframe,entry_time,entry,initial_stop,tp1,tp2,tp3,max_holding_hours,exit_time,holding_days,exit_reason,initial_notional,initial_risk_cash,entry_fee,exit_fees,price_pnl,funding_pnl,net_pnl,net_return_on_notional,realized_r,tp1_hit,tp2_hit,tp3_hit,paper_only,fold_year
BTCUSDT,SHORT,1d,2022-10-24 00:00:00+00:00,19560.6,20695.36,18425.839999999997,17291.079999999998,16156.319999999998,672,2022-10-26 00:00:00+00:00,2.0,STOP,0.062018370507404164,0.0035978429146847272,0.00012403674101480833,0.00013123242684417777,-0.0035978429146847272,3.129592200236354e-05,-0.0038218161605413498,-0.061623937057247835,-1.0622520913691,False,False,False,True,2022
SOLUSDT,SHORT,1d,2022-10-31 00:00:00+00:00,32.92,36.56,29.28,25.64,22.0,672,2022-11-05 00:00:00+00:00,5.0,STOP,0.03233600515143033,0.0035754270580560872,6.467201030286066e-05,7.182286441897283e-05,-0.0035754270580560872,1.27421858249928e-05,-0.003699179746952928,-0.11439816791312271,-1.0346120021153846,False,False,False,True,2022
BTCUSDT,SHORT,1d,2022-10-31 00:00:00+00:00,20615.5,21836.61,19394.39,18173.28,16952.17,672,2022-11-08 00:00:00+00:00,8.0,TP1+TP2+TP3,0.060362470633567186,0.0035754270580560872,0.00012072494126713438,0.00010463551950588197,0.008044710880626195,7.521101713172255e-05,0.007894561436984901,0.1307859230101623,2.208005172192513,True,True,True,True,2022
SOLUSDT,SHORT,1d,2022-11-07 00:00:00+00:00,32.61,37.178,28.041999999999998,23.473999999999997,18.906,672,2022-11-08 00:00:00+00:00,1.0,TP1+TP2+TP3,0.02542205035572042,0.003561113953539737,5.084410071144084e-05,3.4819087920512016e-05,0.008012506395464414,-2.3740473987788556e-05,0.007903102732844674,0.31087589798068094,2.2192782471869545,True,True,True,True,2022
BNBUSDT,LONG,1d,2022-11-07 00:00:00+00:00,337.69,310.603,364.777,391.864,418.951,672,2022-11-08 00:00:00+00:00,1.0,STOP,0.044395930556017066,0.003561113953539737,8.879186111203413e-05,8.166963320495466e-05,-0.003561113953539737,4.119753539123319e-05,-0.0036903779124654924,-0.08312423833101361,-1.0362987426440728,False,False,False,True,2022
ETHUSDT,SHORT,1d,2022-10-31 00:00:00+00:00,1589.88,1732.1850000000002,1447.575,1305.27,1162.9650000000001,672,2022-11-09 00:00:00+00:00,9.0,TP1+TP2+TP3,0.039945890664855134,0.0035754270580560872,7.989178132971027e-05,6.380235956845788e-05,0.008044710880626192,1.596157848559209e-05,0.007916978318213617,0.19819255964616825,2.2142748795210982,True,True,True,True,2022
BNBUSDT,SHORT,1d,2022-11-14 00:00:00+00:00,276.4,329.969,222.83099999999996,169.26199999999997,115.69299999999998,672,2022-11-28 00:00:00+00:00,14.0,SIGNAL_INVALID,0.018742946963914087,0.003632564854956274,3.7485893927828175e-05,4.1682035599778264e-05,-0.002098070835975043,-0.00023107466921147427,-0.002408313434714124,-0.12849171687626632,-0.6629787852041291,False,False,False,True,2022
BTCUSDT,SHORT,1d,2022-11-14 00:00:00+00:00,16321.3,18467.24,14175.359999999999,12029.419999999998,9883.479999999996,672,2022-12-12 00:00:00+00:00,28.0,MAX_HOLD,0.027628070107830492,0.0036325648549562738,5.525614021566098e-05,5.7815595773921646e-05,-0.00127972777913033,3.02544351784325e-05,-0.00136254507994148,-0.049317417924001156,-0.37509174215635066,False,False,False,True,2022
ETHUSDT,SHORT,1d,2022-11-14 00:00:00+00:00,1220.78,1471.696,969.864,718.948,468.0319999999999,672,2022-12-12 00:00:00+00:00,28.0,MAX_HOLD,0.017673494411012135,0.0036325648549562738,3.534698882202427e-05,3.655294082356207e-05,-0.0006029760007688995,8.218199736782815e-06,-0.000666657730677703,-0.037720765071921306,-0.18352259554791286,False,False,False,True,2022
BNBUSDT,LONG,1d,2022-12-05 00:00:00+00:00,291.94,265.484,318.396,344.852,371.308,672,2022-12-12 00:00:00+00:00,7.0,SIGNAL_INVALID,0.03990594914810803,0.0036163314059818688,7.981189829621606e-05,7.774784461348526e-05,-0.0010320268413654041,0.0,-0.0011895865842751054,-0.02980975542919782,-0.32894844269730894,False,False,False,True,2022
