symbol,side,timeframe,entry_time,entry,initial_stop,tp1,tp2,tp3,max_holding_hours,initial_notional,initial_risk_cash,exit_time,holding_days,exit_reason,entry_fee,exit_fees,net_pnl,net_return_on_notional,realized_r,tp1_hit,tp2_hit,tp3_hit,paper_only,test_year,selected_candidate
BNBUSDT,LONG,1d,2020-09-21 00:00:00+00:00,26.3167,20.10108,32.53232,38.74794,44.96356,672,0.022078456433597068,0.005214608798891754,2020-10-19 00:00:00+00:00,28.0,MAX_HOLD,4.415691286719414e-05,5.1439186766843764e-05,0.0035455408501907726,0.16058825764628537,0.6799246092907864,False,False,False,True,2020,ALL
BTCUSDT,LONG,1d,2020-10-05 00:00:00+00:00,10666.62,10043.476,11289.764000000001,11912.908000000001,12536.052000000001,672,0.0891959816779005,0.005210829748007677,2020-10-21 00:00:00+00:00,16.0,TP1+TP2+TP3,0.000178391963355801,0.00020184069722183556,0.011344134272439643,0.12718212254678626,2.1770303043919235,True,True,True,True,2020,ALL
BTCUSDT,LONG,1d,2020-10-26 00:00:00+00:00,13029.64,12275.831999999999,13783.448,14537.256,15291.063999999998,672,0.0916483258704765,0.005302160399502384,2020-10-28 00:00:00+00:00,2.0,TP1+STOP,0.000183296651740953,0.0001859477319407042,0.0009562957161939327,0.010434404634356697,0.18035963534480826,True,False,False,True,2020,ALL
BNBUSDT,LONG,1d,2020-10-19 00:00:00+00:00,30.6568,27.51762,33.79598,36.935159999999996,40.07434,672,0.0514470526659487,0.005268050115729392,2020-10-30 00:00:00+00:00,11.0,STOP,0.0001028941053318974,9.235800510043863e-05,-0.005463302226161727,-0.10619271548237257,-1.0370634496906834,False,False,False,True,2020,ALL
ETHUSDT,LONG,1d,2020-10-05 00:00:00+00:00,352.34,313.375,391.30499999999995,430.27,469.235,672,0.0471187925936873,0.005210829748007676,2020-11-02 00:00:00+00:00,28.0,TP1+MAX_HOLD,9.42375851873746e-05,0.0001057374511467112,0.0055499579433342106,0.11778650593177045,1.0650814192223796,True,False,False,True,2020,ALL
BNBUSDT,LONG,1d,2020-11-02 00:00:00+00:00,28.5485,25.85631,31.24069,33.93288,36.62507,672,0.055985132784637175,0.005279528333589237,2020-11-03 00:00:00+00:00,1.0,STOP,0.00011197026556927435,0.00010141120890209587,-0.005492909808060612,-0.09811372296267762,-1.0404167685044527,False,False,False,True,2020,ALL
BTCUSDT,LONG,1d,2020-11-02 00:00:00+00:00,13761.49,12792.292,14730.688,15699.885999999999,16669.084,672,0.07496319262669232,0.005279528333589239,2020-11-07 00:00:00+00:00,5.0,TP1+TP2+STOP,0.00014992638525338466,0.00016312520608735776,0.006286358825645816,0.08385927286943509,1.1907046289819023,True,True,False,True,2020,ALL
ETHUSDT,LONG,1d,2020-11-02 00:00:00+00:00,396.68,361.753,431.607,466.534,501.461,672,0.059961728730442865,0.005279528333589238,2020-11-20 00:00:00+00:00,18.0,TP1+TP2+TP3,0.00011992345746088574,0.0001436813349620373,0.01161533395815285,0.19371245966522124,2.2000703896698806,True,True,True,True,2020,ALL
BNBUSDT,LONG,1d,2020-11-09 00:00:00+00:00,28.4101,25.42045,31.39975,34.3894,37.37905,672,0.0505941954948512,0.005324125454017478,2020-11-25 00:00:00+00:00,16.0,TP1+TP2+STOP,0.00010118839098970241,0.0001144987046247461,0.0064394697219073965,0.1272768478463645,1.2094887277774986,True,True,False,True,2020,ALL
ETHUSDT,LONG,1d,2020-11-23 00:00:00+00:00,560.03,498.73699999999997,621.323,682.616,743.909,672,0.04935029811910315,0.005401188905262557,2020-11-25 00:00:00+00:00,2.0,TP1+STOP,9.870059623820631e-05,0.00010140119069083758,0.0011501954393865947,0.02330675767369604,0.21295227024293137,True,False,False,True,2020,ALL
BTCUSDT,LONG,1d,2020-11-09 00:00:00+00:00,15475.1,14005.796,16944.404000000002,18413.708,19883.012000000002,672,0.05607510345950591,0.005324125454017478,2020-11-26 00:00:00+00:00,17.0,TP1+TP2+STOP,0.00011215020691901182,0.00012546052055405554,0.006417546090048801,0.11444555059418071,1.2053709375323323,True,True,False,True,2020,ALL
BNBUSDT,LONG,1d,2020-11-30 00:00:00+00:00,30.1003,26.49293,33.70767,37.315039999999996,40.92241,672,0.04515506683669908,0.005411608304724641,2020-12-14 00:00:00+00:00,14.0,EARLY_RISK_OFF,9.031013367339816e-05,8.748864519300216e-05,-0.001588543019064397,-0.035179729105689936,-0.2935436065610123,False,False,False,True,2020,ALL
BTCUSDT,LONG,1d,2020-11-30 00:00:00+00:00,18185.0,16220.961000000001,20149.039,22113.077999999998,24077.117,672,0.050105979067328936,0.0054116083047246405,2020-12-19 00:00:00+00:00,19.0,TP1+TP2+TP3,0.00010021195813465787,0.00012456419550591874,0.011951342531989866,0.23852128537255965,2.208464075560618,True,True,True,True,2020,ALL
BNBUSDT,LONG,1d,2020-12-21 00:00:00+00:00,34.3072,31.05402,37.56038,40.81356,44.06674,672,0.05785404381266848,0.0054860092998116105,2020-12-22 00:00:00+00:00,1.0,STOP,0.00011570808762533697,0.00010473606902571376,-0.0057064534564626596,-0.09863534301837514,-1.040182971738422,False,False,False,True,2020,ALL
ETHUSDT,LONG,1d,2020-11-30 00:00:00+00:00,576.32,499.6120000000001,653.028,729.7360000000001,806.4440000000001,672,0.040658315927659526,0.005411608304724641,2020-12-23 00:00:00+00:00,23.0,TP1+STOP,8.131663185531905e-05,8.402243600768138e-05,0.0011875630083181513,0.029208366879511154,0.21944733274234599,True,False,False,True,2020,ALL
BTCUSDT,LONG,1d,2020-12-21 00:00:00+00:00,23455.54,21381.510000000002,25529.57,27603.6,29677.63,672,0.06204216456468965,0.0054860092998116105,2020-12-31 00:00:00+00:00,10.0,TP1+TP2+END_OF_DATA,0.0001240843291293793,0.0001467769682880893,0.011075458281937518,0.17851502054525265,2.018855178083247,True,True,False,True,2020,ALL
ETHUSDT,LONG,1d,2020-12-28 00:00:00+00:00,685.1,599.928,770.272,855.4440000000001,940.6160000000001,672,0.04407249469151955,0.005479116213495991,2020-12-31 00:00:00+00:00,3.0,END_OF_DATA,8.81449893830391e-05,9.474782233463384e-05,0.003118523664079692,0.07075895489709504,0.569165453435399,False,False,False,True,2020,ALL
BNBUSDT,LONG,1d,2020-12-28 00:00:00+00:00,33.6741,29.380320000000005,37.96788,42.261660000000006,46.555440000000004,672,0.042970135238620866,0.005479116213495993,2020-12-31 00:00:00+00:00,3.0,TP1+END_OF_DATA,8.594027047724174e-05,9.573266996566346e-05,0.004714526803767961,0.10971635945726836,0.8604538797982204,True,False,False,True,2020,ALL
BTCUSDT,LONG,1d,2021-01-04 00:00:00+00:00,33000.05,29403.066000000003,36597.034,40194.018000000004,43791.00200000001,672,0.045871833180242114,0.005,2021-01-04 00:00:00+00:00,0.0,STOP,9.174366636048423e-05,8.174366636048421e-05,-0.0051734873327209715,-0.11278135130098295,-1.0346974665441944,False,False,False,True,2021,TOP2
ETHUSDT,LONG,1d,2021-01-04 00:00:00+00:00,978.33,861.212,1095.448,1212.5660000000003,1329.6840000000002,672,0.04176685052681909,0.005,2021-01-05 00:00:00+00:00,1.0,TP1+STOP,8.353370105363818e-05,8.603370105363819e-05,0.001080432597892725,0.02586818455940229,0.216086519578545,True,False,False,True,2021,TOP2
ETHUSDT,LONG,1d,2021-01-11 00:00:00+00:00,1254.24,1038.489,1469.991,1685.7420000000002,1901.4930000000002,672,0.028947868770698378,0.004979534726325859,2021-01-11 00:00:00+00:00,0.0,STOP,5.789573754139676e-05,4.793666808874504e-05,-0.005085367131956,-0.17567328262533483,-1.021253472753313,False,False,False,True,2021,TOP2
BTCUSDT,LONG,1d,2021-01-11 00:00:00+00:00,38150.02,32478.607999999997,43821.43199999999,49492.844,55164.255999999994,672,0.03349595293024489,0.00497953472632586,2021-01-11 00:00:00+00:00,0.0,STOP,6.699190586048978e-05,5.703283640783807e-05,-0.005103559468594185,-0.15236346549752786,-1.0249068937329888,False,False,False,True,2021,TOP2
