symbol,side,timeframe,entry_time,entry,initial_stop,tp1,tp2,tp3,max_holding_hours,initial_notional,initial_risk_cash,exit_time,holding_days,exit_reason,entry_fee,exit_fees,net_pnl,net_return_on_notional,realized_r,tp1_hit,tp2_hit,tp3_hit,paper_only
SOLUSDT,LONG,1d,2023-07-31 00:00:00+00:00,24.25,20.007,28.493,32.736,36.979,672,0.033779110864861156,0.005910299686581684,2023-08-07 00:00:00+00:00,7.0,EARLY_RISK_OFF,3.377911086486116e-05,3.23165101882383e-05,-0.001528696297675954,-0.045255670103092796,-0.25864954041951466,False,False,False,True
BTCUSDT,LONG,1d,2023-08-07 00:00:00+00:00,29088.43,27984.588,30192.272,31296.114,32399.956000000002,672,0.15492973619915062,0.0058792430483715664,2023-08-15 00:00:00+00:00,8.0,TP1+STOP,0.00015492973619915063,0.00015639954696124354,0.0011584814789324985,0.007477463702922446,0.19704602606170107,True,False,False,True
ETHUSDT,LONG,1d,2023-08-14 00:00:00+00:00,1840.73,1779.635,1901.825,1962.92,2024.015,672,0.17745725007898808,0.005889919050363595,2023-08-17 00:00:00+00:00,3.0,STOP,0.00017745725007898807,0.00017156733102862448,-0.006238943631471216,-0.0351574456873089,-1.059257958916443,False,False,False,True
SOLUSDT,LONG,1d,2023-08-14 00:00:00+00:00,24.22,21.983,26.456999999999997,28.694,30.930999999999997,672,0.0637701561912411,0.005889919050363594,2023-08-17 00:00:00+00:00,3.0,STOP,6.37701561912411e-05,5.7880237140877507e-05,-0.006011569443695716,-0.09426932287365812,-1.0206540008940552,False,False,False,True
BTCUSDT,LONG,1d,2023-10-23 00:00:00+00:00,29992.46,28442.195,31542.725,33092.99,34643.255000000005,672,0.1126707855680921,0.005823782890390392,2023-10-23 00:00:00+00:00,0.0,TP1+TP2+TP3,0.0001126707855680921,0.0001257742970714705,0.012865066420738813,0.11418280573684175,2.209056666924686,True,True,True,True
SOLUSDT,LONG,1d,2023-10-23 00:00:00+00:00,29.06,26.104,32.016,34.972,37.928,672,0.05725275060715319,0.005823782890390392,2023-10-31 00:00:00+00:00,8.0,TP1+TP2+TP3,5.725275060715319e-05,7.035626211053156e-05,0.012975902490660683,0.22664242945629703,2.2280882949932317,True,True,True,True
SOLUSDT,LONG,1d,2023-11-06 00:00:00+00:00,41.16,34.893,47.42699999999999,53.693999999999996,59.961,672,0.039135373073306286,0.005958731366628046,2023-11-11 00:00:00+00:00,5.0,TP1+TP2+TP3,3.913537307330629e-05,5.2542518648219396e-05,0.01331546768319159,0.34024123542274065,2.2346145284825294,True,True,True,True
SOLUSDT,LONG,1d,2023-11-13 00:00:00+00:00,56.27,47.06400000000001,65.476,74.682,83.888,672,0.03719282941756682,0.006084897594066465,2023-11-17 00:00:00+00:00,4.0,TP1+STOP,3.719282941756682e-05,3.871405381608344e-05,0.0014453175152829715,0.03886011196019206,0.23752536389311407,True,False,False,True
BTCUSDT,LONG,1d,2023-10-30 00:00:00+00:00,34525.88,32198.010999999995,36853.748999999996,39181.618,41509.487,672,0.08784536571099606,0.005922875930527793,2023-11-27 00:00:00+00:00,28.0,TP1+MAX_HOLD,8.784536571099607e-05,9.490111456410422e-05,0.0068730023728330696,0.07823978325099898,1.1604164013310017,True,False,False,True
ETHUSDT,LONG,1d,2023-11-06 00:00:00+00:00,1891.71,1766.9099999999999,2016.5100000000002,2141.3100000000004,2266.11,672,0.09032204898689042,0.005958731366628046,2023-12-04 00:00:00+00:00,28.0,TP1+TP2+MAX_HOLD,9.032204898689042e-05,0.00010198287565367514,0.011468521742144158,0.12697366668252544,1.9246582932692293,True,True,False,True
ETHUSDT,LONG,1d,2023-12-04 00:00:00+00:00,2192.96,2029.9250000000002,2355.995,2519.0299999999997,2682.0649999999996,672,0.08274840791025372,0.00615190732327457,2023-12-11 00:00:00+00:00,7.0,TP1+STOP,8.274840791025371e-05,8.428638474107236e-05,0.0013709420381673176,0.01656759414216401,0.22284829177783927,True,False,False,True
SOLUSDT,LONG,1d,2023-11-20 00:00:00+00:00,61.1,48.18599999999999,74.01400000000001,86.92800000000001,99.84200000000001,672,0.02880887110412853,0.006088997732221212,2023-12-18 00:00:00+00:00,28.0,TP1+MAX_HOLD,2.880887110412853e-05,3.3778990749114105e-05,0.004907531783132336,0.170347937806874,0.8059670899798663,True,False,False,True
SOLUSDT,LONG,1d,2023-12-18 00:00:00+00:00,70.85,59.29299999999999,82.407,93.964,105.52099999999999,672,0.03797775490882797,0.006194903507146435,2023-12-23 00:00:00+00:00,5.0,TP1+TP2+TP3,3.7977754908827967e-05,5.191628779990744e-05,0.013848638848370742,0.3646513302752294,2.2354890326209222,True,True,True,True
BTCUSDT,LONG,1d,2023-11-27 00:00:00+00:00,37447.42,34830.702,40064.138,42680.856,45297.574,672,0.08715467596221615,0.006090118074209075,2023-12-25 00:00:00+00:00,28.0,TP1+TP2+MAX_HOLD,8.715467596221616e-05,9.81738771511145e-05,0.01083387263578501,0.12430626947063378,1.7789265337342424,True,True,False,True
BNBUSDT,LONG,1d,2023-12-25 00:00:00+00:00,264.4,244.76999999999998,284.03,303.65999999999997,323.28999999999996,672,0.08464773681045216,0.0062845502026822085,2023-12-27 00:00:00+00:00,2.0,TP1+TP2+TP3,8.464773681045216e-05,9.878797476648715e-05,0.01395680224445803,0.16488098524962178,2.2208116403464087,True,True,True,True
ETHUSDT,LONG,1d,2023-12-18 00:00:00+00:00,2196.53,2016.6390000000004,2376.4210000000003,2556.312,2736.203,672,0.07564186869022003,0.006194903507146435,2024-01-03 00:00:00+00:00,16.0,TP1+STOP,7.564186869022003e-05,7.719059456700664e-05,0.0013958934135293848,0.018453978434166633,0.22532932303450465,True,False,False,True
SOLUSDT,LONG,1d,2023-12-25 00:00:00+00:00,112.45,96.10900000000001,128.791,145.132,161.473,672,0.04324690473603907,0.006284550202682207,2024-01-03 00:00:00+00:00,9.0,STOP,4.3246904736039076e-05,3.6962354533356865e-05,-0.006364759461951606,-0.14717260115606937,-1.0127629276054102,False,False,False,True
BTCUSDT,LONG,1d,2023-12-25 00:00:00+00:00,42991.5,39805.859,46177.141,49362.782,52548.422999999995,672,0.08481251969026386,0.006284550202682208,2024-01-12 00:00:00+00:00,18.0,TP1+STOP,8.481251969026386e-05,8.638365724093442e-05,0.0013999413737393496,0.016506305659258196,0.2227591997183606,True,False,False,True
ETHUSDT,LONG,1d,2024-01-08 00:00:00+00:00,2221.42,2020.72,2422.12,2622.82,2823.5200000000004,672,0.06991023915897143,0.006316223406292178,2024-01-19 00:00:00+00:00,11.0,TP1+TP2+STOP,6.991023915897144e-05,7.780551841683664e-05,0.007747563500289397,0.1108215848421278,1.2266132785251593,True,True,False,True
ETHUSDT,LONG,1d,2024-01-22 00:00:00+00:00,2457.06,2213.693,2700.4269999999997,2943.794,3187.1609999999996,672,0.06433154203396124,0.0063719137465829195,2024-01-23 00:00:00+00:00,1.0,STOP,6.433154203396124e-05,5.7959628287378326e-05,-0.006494204916904258,-0.1009490012453907,-1.0191922199805232,False,False,False,True
BNBUSDT,LONG,1d,2024-01-01 00:00:00+00:00,311.9,283.53999999999996,340.26,368.62,396.98,672,0.06965087479917197,0.006333115772056807,2024-01-29 00:00:00+00:00,28.0,MAX_HOLD,6.965087479917197e-05,6.817701851935622e-05,-0.0016116841731342768,-0.02313946777813388,-0.2544851904090252,False,False,False,True
SOLUSDT,LONG,1d,2024-01-08 00:00:00+00:00,89.44,65.848,113.032,136.624,160.216,672,0.02394553329343728,0.006316223406292176,2024-02-05 00:00:00+00:00,28.0,MAX_HOLD,2.3945533293437278e-05,2.5562606427296417e-05,0.0015675649941384014,0.06546377459749547,0.24818073923363831,False,False,False,True
BTCUSDT,LONG,1d,2024-01-15 00:00:00+00:00,41732.35,37292.267,46172.433,50612.516,55052.599,672,0.05977379818467014,0.006359589746687754,2024-02-12 00:00:00+00:00,28.0,TP1+MAX_HOLD,5.9773798184670145e-05,6.841889474709612e-05,0.008516903869494205,0.14248557274512444,1.339222215384261,True,False,False,True
ETHUSDT,LONG,1d,2024-01-29 00:00:00+00:00,2256.9,2030.1720000000003,2483.6279999999997,2710.3559999999998,2937.0839999999994,672,0.06304942725898058,0.006333940601521617,2024-02-19 00:00:00+00:00,21.0,TP1+TP2+TP3,6.304942725898058e-05,7.730079361240421e-05,0.014111016132552258,0.22380879170543655,2.2278415634593,True,True,True,True
BNBUSDT,LONG,1d,2024-01-29 00:00:00+00:00,305.3,280.92,329.68,354.06,378.44000000000005,672,0.07931714789354184,0.006333940601521617,2024-02-21 00:00:00+00:00,23.0,TP1+TP2+TP3,7.931714789354184e-05,9.356851424696548e-05,0.014078480691283144,0.17749605306256155,2.2227048810500434,True,True,True,True
BTCUSDT,LONG,1d,2024-02-12 00:00:00+00:00,48300.0,45677.879,50922.121,53544.242000000006,56166.363000000005,672,0.11895973393345154,0.006458112142884384,2024-02-27 00:00:00+00:00,15.0,TP1+TP2+TP3,0.00011895973393345154,0.00013349048625494142,0.014278302101301493,0.12002634529503119,2.2109095948470756,True,True,True,True
SOLUSDT,LONG,1d,2024-02-05 00:00:00+00:00,95.48,83.31500000000001,107.645,119.81,131.975,672,0.04976250374543008,0.006340184939915757,2024-02-29 00:00:00+00:00,24.0,TP1+TP2+TP3,4.9762503745430076e-05,6.402791986024054e-05,0.014151625691204787,0.2843833132593212,2.232052507192767,True,True,True,True
