time,symbol,event,price,fee
2020-10-19 00:00:00+00:00,BNBUSDT,MAX_HOLD,30.6568,5.213401326065818e-05
2020-10-19 00:00:00+00:00,BNBUSDT,ENTRY,30.6568,0.00010428397082036227
2020-10-20 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,11909.99,5.048162453944527e-05
2020-10-21 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,12780.96,0.00010624446529276678
2020-10-26 00:00:00+00:00,BTCUSDT,ENTRY,13029.64,0.0001857725728793327
2020-10-27 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,13636.17,4.913003348727388e-05
2020-10-28 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,13266.4,0.00013932942965949954
2020-10-30 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,28.4909,9.360555182295012e-05
2020-11-02 00:00:00+00:00,ETHUSDT,MAX_HOLD,396.68,8.064748547621334e-05
2020-11-02 00:00:00+00:00,BTCUSDT,ENTRY,13761.49,0.0001519515499409226
2020-11-02 00:00:00+00:00,ETHUSDT,ENTRY,396.68,0.00012154335078951358
2020-11-02 00:00:00+00:00,BNBUSDT,ENTRY,28.5485,0.00011348272935276321
2020-11-03 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,26.8638,0.00010278104383036393
2020-11-05 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,15590.02,8.400203911226075e-05
2020-11-06 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,455.91,3.306125907797821e-05
2020-11-07 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,14818.3,8.132661773166094e-05
2020-11-07 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,435.21,3.5736680458578025e-05
2020-11-09 00:00:00+00:00,BTCUSDT,ENTRY,15475.1,0.00011366510130113545
2020-11-09 00:00:00+00:00,BNBUSDT,ENTRY,28.4101,0.00010255521615443107
2020-11-17 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,17659.38,3.111429646896248e-05
