symbol,side,timeframe,entry_time,entry,initial_stop,tp1,tp2,tp3,max_holding_hours,initial_notional,initial_risk_cash,exit_time,holding_days,exit_reason,entry_fee,exit_fees,net_pnl,net_return_on_notional,realized_r,tp1_hit,tp2_hit,tp3_hit,paper_only
ETHUSDT,LONG,1d,2021-01-04 00:00:00+00:00,978.33,861.212,1095.448,1212.5660000000003,1329.6840000000002,672,0.047447963227972095,0.005680098287217644,2021-01-05 00:00:00+00:00,1.0,TP1+STOP,9.48959264559442e-05,9.773597559955302e-05,0.0012273926697489099,0.025868184559402173,0.21608651957854402,True,False,False,True
BNBUSDT,LONG,1d,2020-12-28 00:00:00+00:00,33.6741,29.380320000000005,37.96788,42.261660000000006,46.555440000000004,672,0.04355056409613598,0.005553126619707925,2021-01-11 00:00:00+00:00,14.0,TP1+TP2+STOP,8.710112819227196e-05,0.00010098394474154178,0.006753323201701095,0.1550685586251748,1.2161298785685346,True,True,False,True
BTCUSDT,LONG,1d,2021-01-11 00:00:00+00:00,38150.02,32478.607999999997,43821.43199999999,49492.844,55164.255999999994,672,0.03808703066916716,0.005662047956501273,2021-01-11 00:00:00+00:00,0.0,STOP,7.617406133833432e-05,6.484996542533178e-05,-0.005803071983264934,-0.1523634654975278,-1.0249068937329884,False,False,False,True
ETHUSDT,LONG,1d,2021-01-11 00:00:00+00:00,1254.24,1038.489,1469.991,1685.7420000000002,1901.4930000000002,672,0.03291556947111325,0.005662047956501271,2021-01-11 00:00:00+00:00,0.0,STOP,6.58311389422265e-05,5.450704302922396e-05,-0.005782386138472722,-0.17567328262533485,-1.021253472753313,False,False,False,True
BNBUSDT,LONG,1d,2021-01-18 00:00:00+00:00,45.8645,38.72682,53.00218,60.13986,67.27754,672,0.03591660025933182,0.0055895343749311046,2021-01-21 00:00:00+00:00,3.0,STOP,7.183320051866365e-05,6.065413176880143e-05,-0.005722021707218572,-0.15931412399568307,-1.0237027493527313,False,False,False,True
BNBUSDT,LONG,1d,2021-01-25 00:00:00+00:00,41.827,34.41692,49.23708,56.64716,64.05724,672,0.03139745713574284,0.005562380021814266,2021-02-05 00:00:00+00:00,11.0,TP1+TP2+TP3,6.279491427148568e-05,8.782562436964987e-05,0.012364734510440952,0.39381324598943235,2.2229215662988775,True,True,True,True
BNBUSDT,LONG,1d,2021-02-08 00:00:00+00:00,68.355,58.45855,78.25145,88.1479,98.04435000000001,672,0.039139727156440506,0.005666657198703177,2021-02-09 00:00:00+00:00,1.0,TP1+TP2+TP3,7.827945431288102e-05,0.0001037794117070453,0.012567919831062214,0.3211039203423303,2.217871911139852,True,True,True,True
BTCUSDT,LONG,1d,2021-01-18 00:00:00+00:00,35824.99,28170.981,43478.998999999996,51133.008,58787.017,672,0.026162108391375442,0.005589534374931105,2021-02-15 00:00:00+00:00,28.0,TP1+MAX_HOLD,5.2324216782750885e-05,6.909150358616141e-05,0.008262227681336352,0.3158089385509948,1.4781602772481723,True,False,False,True
ETHUSDT,LONG,1d,2021-01-18 00:00:00+00:00,1232.5,934.3240000000001,1530.676,1828.8519999999999,2127.0280000000002,672,0.023104143583328605,0.005589534374931106,2021-02-15 00:00:00+00:00,28.0,TP1+TP2+MAX_HOLD,4.620828716665721e-05,6.52313673155419e-05,0.009400100419960141,0.40685777363083164,1.681732285629964,True,True,False,True
BNBUSDT,LONG,1d,2021-02-15 00:00:00+00:00,135.8623,113.33338,158.39122,180.92014,203.44906,672,0.034819921344384504,0.00577389917860901,2021-02-19 00:00:00+00:00,4.0,TP1+TP2+TP3,6.963984268876901e-05,9.562238899250956e-05,0.012826010920188993,0.3683526678114532,2.2213777074089656,True,True,True,True
